,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,P6016,P1894,P6020,P6034,P6040,P6051,P5502,P6071,P6071S1,P756,P756S1,P756S2,P756S3,P3510,P3510S1,P3510S1A1,P3510S1A2,P3510S1A3,P3510S1A4,P3510S1A5,P3510S1A6,P3510S1A7,P3510S1A8,P3510S1A9,P3510S1A10,P3510S1A11,P3510S2,P3510S2A1,P3510S2A2,P3510S2A3,P3510S2A4,P3510S2A5,P3510S2A6,P3510S2A7,P3510S2A8,P3510S2A9,P3510S2A10,P3510S2A11,P6074,P755,P755S1,P755S2,P755S3,P754,P753,P753S1,P753S2,P753S3,P752,P1662,P6081,P6081S1,P6087,P6083,P6083S1,P6088,P6080,P2057,P2059,P2061,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927,P3038,P3039
106423,8419037,1,1,1,"141,0733502",1,3,1,1,43,1,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,6.0,2,,2.0,6,2.0,2.0,2.0,6.0,6.0,10.0,10.0,6.0,6.0,10.0,0.0,0.0,10.0,8.0,4.0,1.0
107755,8419591,2,1,2,"180,2802228",2,3,1,1,35,3,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,3.0,11.0,11001.0,,1.0,8.0,1,1.0,,3,,1.0,6,1.0,,1.0,8.0,6.0,8.0,8.0,8.0,8.0,7.0,0.0,4.0,10.0,8.0,2.0,1.0
108524,8419857,1,1,1,"311,8096552",1,3,1,1,30,1,2.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,6.0,2,,4.0,6,2.0,2.0,2.0,10.0,5.0,10.0,10.0,10.0,8.0,10.0,0.0,0.0,10.0,10.0,2.0,1.0
108525,8419857,2,1,2,"311,8096552",2,3,2,1,29,2,2.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,10.0,2,,4.0,6,2.0,2.0,2.0,10.0,5.0,8.0,10.0,6.0,5.0,10.0,6.0,0.0,10.0,10.0,1.0,2.0
110298,8420650,2,1,2,"135,5857033",2,3,2,1,57,2,1.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,2.0,2,,2.0,6,1.0,,1.0,8.0,99.0,8.0,7.0,8.0,8.0,8.0,2.0,2.0,9.0,8.0,1.0,2.0
110696,8420811,2,1,2,"18,18097549",2,3,2,1,61,7,6.0,2.0,,2,25.0,25885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,1.0,1,3.0,,6,1.0,,1.0,10.0,3.0,10.0,8.0,2.0,6.0,8.0,0.0,0.0,10.0,8.0,1.0,2.0
110814,8420869,1,1,1,"171,1593536",1,3,1,1,40,1,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,4.0,2,,2.0,6,2.0,2.0,2.0,10.0,7.0,10.0,10.0,10.0,9.0,10.0,0.0,0.0,10.0,10.0,2.0,1.0
111260,8421034,1,1,1,"45,35414671",1,3,1,1,28,1,1.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,1.0,2,,1.0,6,2.0,2.0,1.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,0.0,0.0,10.0,7.0,2.0,1.0
111261,8421034,2,1,2,"45,35414671",2,3,2,1,28,2,1.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,1.0,2,,1.0,6,2.0,2.0,1.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,1.0,0.0,10.0,9.0,1.0,2.0
111271,8421040,2,1,2,"58,68639475",2,3,2,1,56,2,2.0,1.0,1.0,2,73.0,73067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,10.0,3,,9.0,6,1.0,,1.0,9.0,99.0,7.0,8.0,8.0,8.0,9.0,6.0,0.0,9.0,10.0,1.0,2.0
111273,8421040,4,1,4,"58,68639475",4,3,1,1,67,7,4.0,,,2,73.0,73152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,3,,10.0,3,,10.0,6,1.0,,1.0,7.0,3.0,8.0,9.0,9.0,8.0,7.0,1.0,9.0,8.0,8.0,2.0,1.0
111306,8421057,1,1,1,"139,1909031",1,3,2,1,83,1,6.0,1.0,2.0,2,73.0,73226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,3,,9.0,3,,9.0,6,1.0,,1.0,9.0,3.0,7.0,8.0,8.0,8.0,8.0,0.0,0.0,9.0,9.0,1.0,2.0
114097,8422311,1,1,1,"491,1176021",1,3,1,1,33,1,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,2.0,3.0,11.0,11001.0,,2.0,8.0,3,,9.0,2,,9.0,6,2.0,2.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,2.0,1.0,10.0,8.0,2.0,1.0
114482,8422528,1,1,1,"133,6298633",1,3,2,1,18,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,4.0,2,,10.0,2,,3.0,6,2.0,2.0,2.0,7.0,5.0,7.0,7.0,4.0,7.0,7.0,6.0,6.0,8.0,5.0,1.0,2.0
117684,8423864,3,1,3,"98,75958828",3,3,2,1,38,3,4.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,2.0,1,2.0,,6,2.0,2.0,1.0,9.0,99.0,9.0,9.0,9.0,9.0,4.0,6.0,7.0,8.0,8.0,1.0,2.0
117783,8423901,1,1,1,"52,06976418",1,3,1,1,78,1,2.0,1.0,2.0,2,50.0,50001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,9.0,3,,9.0,6,1.0,,1.0,3.0,5.0,9.0,6.0,8.0,8.0,8.0,6.0,2.0,7.0,8.0,2.0,1.0
118410,8424162,2,1,2,"92,32981977",2,3,2,1,23,3,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,2.0,1.0,2,,10.0,1,1.0,,6,1.0,,1.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0,0.0,3.0,8.0,8.0,1.0,2.0
118447,8424174,3,1,3,"528,5973143",3,3,1,1,25,3,5.0,,,2,25.0,25899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,1,1.0,,2,,4.0,6,2.0,2.0,2.0,9.0,6.0,5.0,8.0,6.0,8.0,8.0,3.0,4.0,10.0,6.0,2.0,1.0
118593,8424238,1,1,1,"146,6815475",1,3,2,1,66,1,5.0,,,2,5.0,5789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,3,,9.0,3,,1.0,6,2.0,2.0,2.0,9.0,99.0,5.0,8.0,8.0,8.0,9.0,0.0,0.0,8.0,8.0,1.0,2.0
119906,8424838,3,1,3,"505,2619919",3,3,2,1,29,3,4.0,,,2,47.0,47318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,7.0,1,1.0,,1,2.0,,6,2.0,2.0,1.0,9.0,6.0,9.0,8.0,5.0,8.0,8.0,3.0,3.0,10.0,8.0,1.0,2.0
127610,8428082,1,1,1,"14,75077908",1,3,1,1,23,1,5.0,,,2,5.0,5001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,5001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,4.0,2,,4.0,6,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,0.0,0.0,10.0,10.0,2.0,1.0
128620,8428641,1,1,1,"12,77954887",1,3,1,1,48,1,5.0,,,2,50.0,50711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,10.0,2,,9.0,6,2.0,2.0,2.0,6.0,6.0,8.0,10.0,9.0,10.0,9.0,2.0,1.0,10.0,6.0,1.0,1.0
128634,8428648,2,1,2,"11,02951536",2,3,2,1,53,5,6.0,1.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,9.0,2,,9.0,6,2.0,1.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,9.0,1.0,2.0
129102,8428842,2,1,2,"172,7003542",2,3,2,1,37,2,6.0,1.0,1.0,2,50.0,50350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,50.0,50006.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,2.0,2,,1.0,6,2.0,2.0,2.0,10.0,99.0,9.0,7.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
129103,8428843,1,1,1,"110,8032385",1,3,1,1,75,1,3.0,,,2,15.0,15187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,1.0,3,,1.0,6,1.0,,2.0,9.0,9.0,9.0,6.0,9.0,9.0,10.0,1.0,2.0,10.0,10.0,2.0,1.0
129104,8428843,2,1,2,"110,8032385",2,3,2,1,70,9,5.0,,,2,15.0,15740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,9.0,3,,9.0,6,1.0,,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
129778,8429116,1,1,1,"74,3222768",1,3,2,1,31,1,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,15.0,15299.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,2.0,2,,2.0,6,2.0,2.0,2.0,7.0,5.0,7.0,6.0,6.0,8.0,9.0,8.0,7.0,10.0,10.0,1.0,2.0
