,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,P6016,P1894,P6020,P6034,P6040,P6051,P5502,P6071,P6071S1,P756,P756S1,P756S2,P756S3,P3510,P3510S1,P3510S1A1,P3510S1A2,P3510S1A3,P3510S1A4,P3510S1A5,P3510S1A6,P3510S1A7,P3510S1A8,P3510S1A9,P3510S1A10,P3510S1A11,P3510S2,P3510S2A1,P3510S2A2,P3510S2A3,P3510S2A4,P3510S2A5,P3510S2A6,P3510S2A7,P3510S2A8,P3510S2A9,P3510S2A10,P3510S2A11,P6074,P755,P755S1,P755S2,P755S3,P754,P753,P753S1,P753S2,P753S3,P752,P1662,P6081,P6081S1,P6087,P6083,P6083S1,P6088,P6080,P2057,P2059,P2061,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927,P3038,P3039
43,8369568,1,1,1,"508,8582105",1,3,1,1,63,1,4.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,4.0,3,,4.0,6,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,2.0,1.0
104,8369598,1,1,1,"558,8467619",1,3,1,1,42,1,6.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,10.0,2,,2.0,2,,3.0,6,2.0,2.0,2.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,5.0,3.0,10.0,10.0,2.0,1.0
105,8369598,2,1,2,"558,8467619",2,3,2,1,38,2,6.0,1.0,1.0,2,73.0,73268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,10.0,3,,8.0,2,,8.0,6,2.0,2.0,2.0,8.0,8.0,9.0,8.0,9.0,6.0,9.0,4.0,0.0,10.0,7.0,1.0,2.0
404,8369727,1,1,1,"220,4496901",1,3,2,1,22,1,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,2,,1.0,2,,1.0,6,2.0,2.0,2.0,5.0,1.0,10.0,8.0,2.0,9.0,10.0,9.0,2.0,9.0,6.0,1.0,2.0
1001,8369991,1,1,1,"203,6746494",1,3,1,1,32,1,5.0,,,2,17.0,17513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,8.0,,3.0,11.0,11001.0,,1.0,2.0,2,,8.0,2,,5.0,6,2.0,1.0,2.0,10.0,3.0,10.0,7.0,10.0,4.0,9.0,10.0,10.0,4.0,3.0,2.0,1.0
2235,8370571,2,1,2,"1104,684055",2,3,2,1,24,3,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,1,1.0,,3,,2.0,6,2.0,2.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,7.0,1.0,2.0
2258,8370589,1,1,1,"209,2822621",1,3,1,1,77,1,6.0,2.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,10.0,3,,10.0,6,1.0,,1.0,8.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,2.0,1.0
2988,8370927,1,1,1,"289,3754451",1,3,1,1,62,1,3.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,47.0,47001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,9.0,2,,9.0,6,2.0,2.0,2.0,6.0,3.0,6.0,4.0,4.0,3.0,6.0,4.0,5.0,6.0,5.0,2.0,1.0
5212,8371900,1,1,1,"333,2241012",1,3,2,1,26,1,2.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,1.0,2,,8.0,6,2.0,2.0,2.0,8.0,3.0,8.0,8.0,8.0,8.0,5.0,3.0,0.0,10.0,7.0,1.0,2.0
5213,8371900,2,1,2,"333,2241012",2,3,1,1,56,2,2.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,9.0,3,,9.0,6,2.0,2.0,2.0,5.0,3.0,8.0,8.0,6.0,8.0,3.0,0.0,0.0,10.0,7.0,2.0,1.0
5389,8371962,1,1,1,"767,7853827",1,3,1,1,30,1,2.0,1.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,2.0,2,,2.0,6,1.0,,1.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,9.0,8.0,2.0,1.0
5390,8371962,2,1,2,"767,7853827",2,3,2,1,26,2,2.0,1.0,1.0,2,23.0,23001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,3.0,2,,3.0,6,1.0,,1.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,5.0,5.0,9.0,10.0,1.0,2.0
6586,8372509,3,1,3,"613,7163658",3,3,2,1,24,3,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,3.0,11.0,11001.0,,1.0,12.0,1,1.0,,1,2.0,,6,2.0,2.0,2.0,8.0,99.0,8.0,8.0,8.0,8.0,6.0,3.0,2.0,4.0,4.0,1.0,2.0
6812,8372620,4,1,4,"7,597658359",4,3,2,1,18,14,5.0,,,2,13.0,13212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,7.0,2,,4.0,2,,4.0,6,2.0,2.0,1.0,7.0,6.0,8.0,7.0,8.0,7.0,8.0,0.0,0.0,10.0,8.0,1.0,2.0
7849,8373089,1,1,1,"138,2256928",1,3,2,1,40,1,1.0,1.0,2.0,2,15.0,15861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,15.0,15861.0,,2.0,3.0,11.0,11001.0,,2.0,1.0,2,,1.0,2,,1.0,6,1.0,,1.0,5.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,6.0,8.0,6.0,1.0,2.0
7850,8373089,2,1,2,"138,2256928",2,3,1,1,40,2,1.0,1.0,1.0,2,68.0,68547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,15.0,15238.0,,2.0,3.0,11.0,11001.0,,2.0,1.0,2,,1.0,2,,1.0,6,1.0,,2.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,7.0,8.0,5.0,2.0,1.0
9153,8375917,1,1,1,"84,66539973",1,3,2,1,51,1,2.0,1.0,2.0,2,25.0,25377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,4.0,3,,4.0,6,2.0,2.0,1.0,8.0,99.0,9.0,10.0,3.0,3.0,6.0,1.0,0.0,7.0,8.0,1.0,2.0
9154,8375917,2,1,2,"84,66539973",2,3,1,1,28,2,2.0,1.0,1.0,2,23.0,23300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,9.0,2,,9.0,6,1.0,,1.0,9.0,9.0,10.0,10.0,8.0,6.0,8.0,0.0,0.0,9.0,9.0,2.0,1.0
9728,8376163,2,1,2,"106,9268911",2,3,2,1,47,3,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,13.0,13001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,2,,2.0,1,1.0,,6,2.0,2.0,2.0,10.0,2.0,8.0,3.0,2.0,9.0,9.0,2.0,2.0,9.0,8.0,1.0,2.0
10343,8376452,1,1,1,"116,4687892",1,3,2,1,64,1,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,1.0,3,,1.0,6,1.0,,1.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,3.0,6.0,6.0,1.0,2.0
10740,8376649,1,1,1,"298,6173271",1,3,2,1,42,1,4.0,,,2,68.0,68147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,3,,9.0,3,,9.0,6,2.0,2.0,2.0,10.0,7.0,10.0,10.0,8.0,8.0,10.0,1.0,0.0,10.0,9.0,1.0,2.0
10818,8376681,1,1,1,"39,51353323",1,3,2,1,44,1,1.0,2.0,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,10.0,2,,1.0,6,2.0,2.0,2.0,3.0,4.0,2.0,8.0,3.0,2.0,8.0,3.0,2.0,6.0,6.0,1.0,2.0
10911,8376722,1,1,1,"44,23373706",1,3,1,1,68,1,4.0,,,2,15.0,15001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,3,,1.0,3,,2.0,6,1.0,,1.0,8.0,8.0,10.0,7.0,8.0,8.0,7.0,3.0,1.0,10.0,7.0,2.0,1.0
11952,8377170,2,1,2,"27,96603531",2,3,2,1,18,3,4.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,4.0,1,1.0,,6,2.0,2.0,1.0,8.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,1.0,2.0
12202,8377279,2,1,2,"338,001687",2,3,2,1,41,2,6.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,2.0,3.0,11.0,11001.0,,2.0,1.0,2,,5.0,2,,4.0,6,1.0,,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
12562,8377442,1,1,1,"44,86270168",1,3,1,1,79,1,3.0,,,2,25.0,25885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,1.0,3,,1.0,6,1.0,,1.0,7.0,9.0,9.0,8.0,7.0,7.0,5.0,3.0,2.0,8.0,9.0,2.0,1.0
12707,8377514,4,1,4,"50,5490328",4,3,2,1,54,10,5.0,,,2,25.0,25815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,3.0,2,,2.0,6,2.0,2.0,2.0,10.0,10.0,8.0,7.0,8.0,10.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
14333,8378222,1,1,1,"1184,499355",1,3,2,1,35,1,2.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,3.0,2,,3.0,6,2.0,2.0,2.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,4.0,4.0,8.0,5.0,1.0,2.0
14334,8378222,2,1,2,"1184,499355",2,3,1,1,41,2,2.0,1.0,1.0,2,73.0,73870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,3,,2.0,2,,10.0,6,2.0,2.0,2.0,7.0,7.0,6.0,6.0,4.0,5.0,5.0,5.0,3.0,7.0,6.0,2.0,1.0
14383,8378242,1,1,1,"910,4999523",1,3,1,1,26,1,5.0,,,2,25.0,25290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,6.0,2,,3.0,6,2.0,2.0,2.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,0.0,0.0,10.0,8.0,2.0,1.0
17664,8379588,5,1,5,"27,68696381",5,3,2,1,63,5,4.0,,,2,18.0,18001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,1.0,3,,3.0,6,1.0,,1.0,8.0,10.0,3.0,10.0,8.0,8.0,10.0,0.0,0.0,10.0,9.0,1.0,2.0
18099,8379764,1,1,1,"47,9619749",1,3,1,1,21,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,1.0,2,,1.0,6,2.0,2.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,2.0,1.0
23323,8381988,1,1,1,"1184,960424",1,3,2,1,42,1,2.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,8.0,2,,4.0,6,2.0,2.0,2.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,0.0,10.0,10.0,1.0,2.0
23324,8381988,2,1,2,"1184,960424",2,3,1,1,34,2,2.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,4.0,2,,4.0,6,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,0.0,0.0,10.0,10.0,2.0,1.0
23788,8382182,2,1,2,"75,94309779",2,11,2,1,30,2,2.0,1.0,1.0,3,,,3.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,3.0,,3.0,11.0,11001.0,,1.0,1.0,2,,1.0,2,,1.0,6,2.0,2.0,2.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,0.0,0.0,10.0,10.0,1.0,2.0
23793,8382186,1,1,1,"68,06547811",1,3,1,1,40,1,6.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,4.0,3,,4.0,6,2.0,2.0,2.0,10.0,99.0,10.0,10.0,0.0,3.0,10.0,1.0,0.0,10.0,8.0,2.0,1.0
23794,8382186,2,1,2,"68,06547811",2,3,2,1,45,2,6.0,1.0,1.0,2,17.0,17050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,2.0,2,,2.0,6,2.0,1.0,2.0,7.0,99.0,6.0,10.0,0.0,6.0,6.0,4.0,0.0,10.0,7.0,1.0,2.0
24794,8382647,1,1,1,"214,9497458",1,3,1,1,67,1,2.0,1.0,2.0,2,73.0,73547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,3,,9.0,3,,9.0,6,2.0,2.0,2.0,7.0,8.0,5.0,7.0,6.0,5.0,5.0,10.0,6.0,7.0,7.0,2.0,1.0
24795,8382647,2,1,2,"214,9497458",1,3,2,1,58,2,2.0,1.0,1.0,2,73.0,73268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,3,,9.0,3,,9.0,6,2.0,2.0,2.0,4.0,99.0,4.0,7.0,1.0,3.0,3.0,1.0,2.0,3.0,5.0,1.0,2.0
27613,8383889,1,1,1,"56,95417302",1,4,1,1,58,1,6.0,1.0,2.0,3,,,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,4.0,2,,1.0,6,2.0,2.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,2.0,7.0,8.0,2.0,1.0
27614,8383889,2,1,2,"56,95417302",2,3,2,1,48,2,6.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,9.0,2,,4.0,6,2.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,2.0,1.0,8.0,10.0,1.0,2.0
28141,8384130,6,1,6,"176,3651632",6,3,1,1,26,9,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,50.0,50313.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,1,5.0,,2,,10.0,6,2.0,2.0,2.0,1.0,1.0,4.0,8.0,5.0,8.0,6.0,8.0,4.0,7.0,7.0,2.0,1.0
28145,8384132,1,1,1,"148,1544893",1,3,1,1,52,1,6.0,1.0,2.0,2,76.0,76111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,12.0,2,,1.0,2,,1.0,6,2.0,1.0,2.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,3.0,2.0,8.0,8.0,2.0,1.0
28146,8384132,2,1,2,"148,1544893",2,3,2,1,53,2,6.0,1.0,1.0,2,68.0,68385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,9.0,2,,9.0,6,1.0,,2.0,8.0,99.0,8.0,2.0,8.0,8.0,5.0,5.0,5.0,8.0,8.0,1.0,2.0
28628,8384340,1,1,1,"111,299099",1,3,2,1,42,1,4.0,,,2,81.0,81736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,1.0,2,,7.0,6,2.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,0.0,0.0,10.0,9.0,1.0,2.0
30587,8385457,1,1,1,"204,72469",1,3,1,1,47,1,6.0,2.0,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,4.0,2,,4.0,6,2.0,2.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,2.0,0.0,10.0,9.0,2.0,1.0
30776,8385547,2,1,2,"185,9821022",2,3,1,1,19,3,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,73.0,73001.0,,1.0,3.0,11.0,11001.0,,1.0,2.0,2,,4.0,1,1.0,,6,1.0,,1.0,7.0,0.0,8.0,6.0,10.0,10.0,8.0,3.0,0.0,2.0,5.0,2.0,1.0
30789,8385553,1,1,1,"143,6144421",1,3,2,1,34,1,4.0,,,2,76.0,76001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,2.0,2,,1.0,6,2.0,2.0,2.0,9.0,7.0,10.0,7.0,8.0,10.0,10.0,1.0,0.0,10.0,8.0,1.0,2.0
31034,8385665,1,1,1,"115,2218233",1,3,2,1,22,1,2.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,4.0,2,,4.0,6,2.0,2.0,2.0,10.0,6.0,9.0,8.0,6.0,7.0,9.0,4.0,4.0,8.0,8.0,1.0,2.0
34388,8387082,1,1,1,"80,90029036",1,3,2,1,78,1,5.0,,,2,41.0,41396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,3,,2.0,3,,2.0,6,1.0,,1.0,10.0,99.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
34815,8387306,1,1,1,"54,05929559",1,3,1,1,25,1,2.0,1.0,2.0,2,68.0,68077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,2.0,2,,1.0,6,1.0,,1.0,9.0,8.0,9.0,9.0,8.0,7.0,9.0,1.0,0.0,9.0,9.0,2.0,1.0
34816,8387306,2,1,2,"54,05929559",2,3,2,1,26,2,2.0,1.0,1.0,2,68.0,68190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,2.0,2,,2.0,6,1.0,,1.0,10.0,7.0,8.0,9.0,8.0,7.0,10.0,1.0,0.0,9.0,9.0,1.0,2.0
35284,8387492,1,1,1,"543,8280882",1,3,2,1,43,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,4.0,2,,4.0,6,2.0,2.0,2.0,7.0,0.0,8.0,8.0,8.0,7.0,10.0,10.0,3.0,10.0,9.0,1.0,2.0
36146,8387864,1,1,1,"103,5106885",1,11,1,1,26,1,2.0,1.0,2.0,3,,,3.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,2.0,3.0,11.0,11001.0,,2.0,1.0,2,,3.0,2,,10.0,6,1.0,,1.0,7.0,5.0,4.0,2.0,10.0,3.0,2.0,10.0,6.0,10.0,7.0,9.0,1.0
36147,8387864,2,1,2,"103,5106885",2,3,2,1,43,2,2.0,1.0,1.0,2,17.0,17380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,9.0,2,,9.0,6,1.0,,1.0,7.0,99.0,8.0,8.0,0.0,7.0,9.0,0.0,0.0,10.0,1.0,1.0,2.0
37517,8388487,1,1,1,"9,924560938",1,3,1,1,52,1,6.0,1.0,2.0,2,63.0,63001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,1.0,3,,1.0,6,2.0,2.0,2.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,2.0,2.0,10.0,9.0,2.0,1.0
37518,8388487,2,1,2,"9,924560938",2,3,2,1,49,2,6.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,1.0,2,,1.0,6,2.0,2.0,2.0,10.0,7.0,10.0,8.0,9.0,5.0,10.0,10.0,2.0,10.0,8.0,1.0,2.0
41627,8390174,5,1,5,"56,95417302",5,3,2,1,30,3,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,7.0,1,2.0,,1,1.0,,6,1.0,,1.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,9.0,9.0,9.0,1.0,2.0
41968,8390317,1,1,1,"10,98341144",1,3,2,1,35,1,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,10.0,2,,4.0,6,2.0,2.0,2.0,6.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,2.0,2.0
43617,8390978,1,1,1,"49,80496776",1,3,2,1,43,1,1.0,1.0,2.0,2,73.0,73555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,7.0,3,,10.0,2,,2.0,6,2.0,2.0,1.0,10.0,99.0,8.0,9.0,8.0,8.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
43971,8391131,4,1,4,"179,1354491",4,3,2,1,37,3,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,1,1.0,,1,2.0,,6,1.0,,2.0,6.0,99.0,8.0,10.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,1.0,2.0
44538,8391446,2,1,2,"5,54199875",2,3,2,1,29,2,2.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,3.0,2,,2.0,6,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,2.0,2.0
46854,8392536,1,1,1,"773,6218041",1,3,1,1,32,1,2.0,1.0,2.0,2,13.0,13074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,2.0,2,,2.0,6,1.0,,1.0,10.0,6.0,7.0,10.0,10.0,10.0,2.0,2.0,2.0,10.0,10.0,2.0,1.0
46855,8392536,2,1,2,"773,6218041",2,3,2,1,23,2,2.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,2.0,2,,1.0,6,1.0,,1.0,10.0,99.0,8.0,10.0,9.0,10.0,10.0,8.0,0.0,10.0,10.0,1.0,2.0
48341,8393049,1,1,1,"71,99068644",1,4,1,1,34,1,4.0,,,3,,,3.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,44.0,44430.0,,1.0,3.0,11.0,11001.0,,1.0,4.0,3,,3.0,3,,4.0,6,1.0,,1.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,0.0,0.0,9.0,7.0,2.0,1.0
50296,8393967,1,1,1,"108,8921075",1,3,2,1,43,1,4.0,,,2,54.0,54660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,2.0,2,,2.0,6,1.0,,2.0,10.0,99.0,8.0,9.0,9.0,9.0,9.0,0.0,0.0,8.0,8.0,1.0,2.0
50440,8394030,2,1,2,"97,33746047",2,3,1,1,20,12,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,10.0,3,,1.0,6,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,2.0,1.0
51258,8394362,2,1,2,"17,72645282",2,3,1,1,45,3,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,2,,1.0,1,1.0,,6,1.0,,1.0,8.0,99.0,6.0,10.0,4.0,7.0,8.0,2.0,1.0,10.0,8.0,2.0,1.0
